date,daily_pnl,total_pnl
2022-11-01,-58.4500000000004,-58.4500000000004
2022-11-02,77.79999999999967,19.34999999999927
2022-11-03,-337.8500000000005,-318.5000000000012
2022-11-04,-91.39999999999992,-409.9000000000011
2022-11-07,-135.9000000000009,-545.800000000002
2022-11-09,-2.1500000000002046,-547.9500000000022
2022-11-10,-208.9999999999992,-756.9500000000014
2022-11-11,-108.65000000000055,-865.600000000002
2022-11-14,-14.249999999999432,-879.8500000000014
2022-11-15,-96.400000000001,-976.2500000000024
2022-11-16,3.450000000001296,-972.8000000000011
2022-11-17,-89.95000000000095,-1062.750000000002
2022-11-18,-94.90000000000032,-1157.6500000000024
2022-11-21,-127.25000000000045,-1284.9000000000028
2022-11-22,-94.99999999999841,-1379.9000000000012
2022-11-23,-58.49999999999682,-1438.399999999998
2022-11-24,-90.05000000000064,-1528.4499999999987
2022-11-25,-42.899999999994634,-1571.3499999999933
2022-11-28,-108.65000000000055,-1679.9999999999939
2022-11-29,-108.00000000000023,-1787.999999999994
2022-11-30,-245.59999999999923,-2033.5999999999933
